PMID,Sentence,ID_1,E1,Type_E1,Full_E1,MeSH_E1,Synonyms_1,Relation,ID_2,E2,Type_E2,Full_E2,MeSH_E2,Synonyms_2
22406511,"A recently established rabbit model of high fat diet (HFD)-induced MetS showed hypogonadism and the presence of prostate gland alterations, including inflammation, hypoxia and fibrosis.",,(HFD)-induced MetS,DISEASE,(HFD)-induced MetS,,,show hypogonadism and presence of,,inflammation,DISEASE,inflammation,,
22406511,"A recently established rabbit model of high fat diet (HFD)-induced MetS showed hypogonadism and the presence of prostate gland alterations, including inflammation, hypoxia and fibrosis.",,(HFD)-induced MetS,DISEASE,(HFD)-induced MetS,,,show,,hypogonadism,DISEASE,hypogonadism,,
22406511,"A recently established rabbit model of high fat diet (HFD)-induced MetS showed hypogonadism and the presence of prostate gland alterations, including inflammation, hypoxia and fibrosis.",,fat diet,NUTRITION,fat diet,,,show hypogonadism and presence of,,prostate gland alterations,DISEASE,prostate gland alterations,,
22406511,"A recently established rabbit model of high fat diet (HFD)-induced MetS showed hypogonadism and the presence of prostate gland alterations, including inflammation, hypoxia and fibrosis.",,fat diet,NUTRITION,fat diet,,,show hypogonadism and presence of,,fibrosis,DISEASE,fibrosis,,
22406511,"A recently established rabbit model of high fat diet (HFD)-induced MetS showed hypogonadism and the presence of prostate gland alterations, including inflammation, hypoxia and fibrosis.",,fat diet,NUTRITION,fat diet,,,show hypogonadism and presence of,,hypoxia,DISEASE,hypoxia,,
22406511,"A recently established rabbit model of high fat diet (HFD)-induced MetS showed hypogonadism and the presence of prostate gland alterations, including inflammation, hypoxia and fibrosis.",,fat diet,NUTRITION,fat diet,,,show hypogonadism and presence of,,inflammation,DISEASE,inflammation,,
22406511,"A recently established rabbit model of high fat diet (HFD)-induced MetS showed hypogonadism and the presence of prostate gland alterations, including inflammation, hypoxia and fibrosis.",,fat diet,NUTRITION,fat diet,,,show,,hypogonadism,DISEASE,hypogonadism,,
22406511,All these HFD-induced bladder alterations were partially blunted by testosterone and almost completely reverted by INT-747.,,HFD-induced bladder alterations,DISEASE,HFD-induced bladder alterations,,,blunted by,,testosterone,CHEMICAL,testosterone,,
22406511,"In conclusion, HFD-related MetS features are associated to bladder derangements, which are ameliorated by testosterone or INT-747 administration.",,HFD-related MetS features,DISEASE,HFD-related MetS features,,,associated in conclusion to,,bladder derangements,DISEASE,bladder derangements,,
24593042,Low levels of vitamin D have been described in several psychiatric and neurologic conditions including autism spectrum disorder.,,vitamin D,BIOCHEMICAL,vitamin D,,,described in,,psychiatric conditions,DISEASE,psychiatric conditions,,
24593042,Low levels of vitamin D have been described in several psychiatric and neurologic conditions including autism spectrum disorder.,,vitamin D,BIOCHEMICAL,vitamin D,,,described in,,autism spectrum disorder,MENTAL_HEALTH,autism spectrum disorder,,
1921916,"Alcohol, a potent teratogen, has been suggested as an etiologic agent in attention deficit disorder with hyperactivity (ADHD), which is often diagnosed in children with fetal alcohol syndrome (FAS) and in children of alcoholics.",,Alcohol,CHEMICAL,Alcohol,,,suggested as etiologic agent in attention deficit disorder with,,hyperactivity,MENTAL_HEALTH,hyperactivity,,
1921916,"Alcohol, a potent teratogen, has been suggested as an etiologic agent in attention deficit disorder with hyperactivity (ADHD), which is often diagnosed in children with fetal alcohol syndrome (FAS) and in children of alcoholics.",,Alcohol,CHEMICAL,Alcohol,,,suggested as etiologic agent in attention deficit disorder with,,ADHD,MENTAL_HEALTH,Attention-deficit/hyperactivity disorder,,
25349027,"Autophagic inhibitor 3-methyladenine decreased LC3-II levels, increased neuronal cell viability, and mimicked some protective effect of 15d-PGJ2 against OGD/R injury.",,Autophagic inhibitor 3-methyladenine,CHEMICAL,Autophagic inhibitor 3-methyladenine,,,decrease,,LC3-II levels,CHEMICAL,LC3-II levels,,
18761337,"We have compared impact of equi-efficacious antihyperglycaemic doses of balaglitazone with full PPARgamma agonist rosiglitazone on body fluid accumulation, cardiac enlargement, and adipogenesis.",,balaglitazone,CHEMICAL,balaglitazone,,,have equi-efficacious antihyperglycaemic doses with,,full PPARgamma agonist rosiglitazone,CHEMICAL,full PPARgamma agonist rosiglitazone,,
18761337,Equi-efficacious antihyperglycaemic doses (ED(90)) of balaglitazone (3 mg/kg/day) and rosiglitazone (6 mg/kg/day) were determined in male diabetic db/db mice.,,rosiglitazone,CHEMICAL,rosiglitazone,,,determined in,,male diabetic db/db mice,DISEASE,male diabetic db/db mice,,
18761337,Equi-efficacious antihyperglycaemic doses (ED(90)) of balaglitazone (3 mg/kg/day) and rosiglitazone (6 mg/kg/day) were determined in male diabetic db/db mice.,,balaglitazone,CHEMICAL,balaglitazone,,,determined in,,male diabetic db/db mice,DISEASE,male diabetic db/db mice,,
2017444,A third experiment determined whether the ICV administration of NTI (1.0 micrograms/rat) would attenuate restraint stress-induced potentiation of morphine analgesia as indexed by the tail-flick assay.,,NTI,DISEASE,naltrindole hydrochloride,,,attenuate stress-induced potentiation of,,morphine analgesia,CHEMICAL,morphine analgesia,,
31257786,Visual fatigue would occur for elvers with continuous exposure to red light or yellow light.,,Visual fatigue,MENTAL_HEALTH,Visual fatigue,,,occur for elvers with continuous exposure to,,yellow light,NUTRITION,yellow light,,
30327944,TN interferes with daily functioning and is associated with depression and anxiety.,,TN,CHEMICAL,Trigeminal neuralgia,,,associated with,,anxiety,MENTAL_HEALTH,experimental chronic stress,,
30327944,TN interferes with daily functioning and is associated with depression and anxiety.,,TN,CHEMICAL,Trigeminal neuralgia,,,associated with,,depression,MENTAL_HEALTH,central alpha-2 receptors,,
27993600,The purpose of this study is to determine whether a novel tumor-targeted vesicular formulation of tocotrienol would suppress the growth of A431 epidermoid carcinoma and B16-F10 melanoma in vitro and in vivo.,,tocotrienol,BIOCHEMICAL,tocotrienol,,,suppress growth of,,A431 epidermoid carcinoma,DISEASE,A431 epidermoid carcinoma,,
27993600,"In addition, the intravenous administration of tocotrienol entrapped in transferrin-bearing vesicles resulted in tumor suppression for 30% of A431 and 60% of B16-F10 tumors, without visible toxicity.",,tocotrienol,BIOCHEMICAL,tocotrienol,,,result in tumor suppression for % of a431 and % of,,B16-F10 tumors,DISEASE,B16-F10 tumors,,
27993600,"In addition, the intravenous administration of tocotrienol entrapped in transferrin-bearing vesicles resulted in tumor suppression for 30% of A431 and 60% of B16-F10 tumors, without visible toxicity.",,tocotrienol,BIOCHEMICAL,tocotrienol,,,result in tumor suppression for % of a431 and % of,,visible toxicity,DISEASE,visible toxicity,,
27993600,"In addition, the intravenous administration of tocotrienol entrapped in transferrin-bearing vesicles resulted in tumor suppression for 30% of A431 and 60% of B16-F10 tumors, without visible toxicity.",,tocotrienol,BIOCHEMICAL,tocotrienol,,,result in,,tumor suppression,DISEASE,tumor suppression,,
10958252,Disruption of latent inhibition (LI) has been suggested as a model for a cognitive deficit in schizophrenia (hyperattention to irrelevant stimuli) and is usually associated with an increase in DA release in the n. acc.,,LI,CHEMICAL,Latent inhibition,,,suggested as model for cognitive deficit in,,schizophrenia,MENTAL_HEALTH,schizophrenia,,
10958252,Disruption of latent inhibition (LI) has been suggested as a model for a cognitive deficit in schizophrenia (hyperattention to irrelevant stimuli) and is usually associated with an increase in DA release in the n. acc.,,LI,CHEMICAL,Latent inhibition,,,suggested as model for,,cognitive deficit,DISEASE,cognitive deficit,,
7758407,"Recent evidence has demonstrated that N-methyl-D-aspartic acid (NMDA) and non-NMDA, excitatory amino acid (EAA) receptor antagonists block the motor stimulating, neurotoxic, and rewarding actions of cocaine and the amphetamines.",,acid excitatory amino acid receptor antagonists,CHEMICAL,acid excitatory amino acid receptor antagonists,,,block,,amphetamines,CHEMICAL,amphetamines,,
7758407,"Recent evidence has demonstrated that N-methyl-D-aspartic acid (NMDA) and non-NMDA, excitatory amino acid (EAA) receptor antagonists block the motor stimulating, neurotoxic, and rewarding actions of cocaine and the amphetamines.",,acid excitatory amino acid receptor antagonists,CHEMICAL,acid excitatory amino acid receptor antagonists,,,block,,neurotoxic,DISEASE,neurotoxic,,
7758407,"Recent evidence has demonstrated that N-methyl-D-aspartic acid (NMDA) and non-NMDA, excitatory amino acid (EAA) receptor antagonists block the motor stimulating, neurotoxic, and rewarding actions of cocaine and the amphetamines.",,acid excitatory amino acid receptor antagonists,CHEMICAL,acid excitatory amino acid receptor antagonists,,,block,,cocaine,CHEMICAL,cocaine,,
7758407,"The participants in this symposium discussed evidence that (i) the initiation of stimulant-induced behavioral sensitization involves NMDA receptor stimulation in the ventral tegmental area (VTA), (ii) competitive and non-competitive NMDA antagonists block the dopaminergic neurotoxic actions of methamphetamine, and (iii) NMDA receptor antagonists block cocaine and methamphetamine-induced increases in striatal neurotensin and dynorphin expression.",,NMDA antagonists,CHEMICAL,NMDA antagonists,,,block dopaminergic neurotoxic actions of,,methamphetamine,CHEMICAL,methamphetamine,,
7758407,"The participants in this symposium discussed evidence that (i) the initiation of stimulant-induced behavioral sensitization involves NMDA receptor stimulation in the ventral tegmental area (VTA), (ii) competitive and non-competitive NMDA antagonists block the dopaminergic neurotoxic actions of methamphetamine, and (iii) NMDA receptor antagonists block cocaine and methamphetamine-induced increases in striatal neurotensin and dynorphin expression.",,NMDA antagonists,CHEMICAL,NMDA antagonists,,,block,,dopaminergic neurotoxic actions,DISEASE,dopaminergic neurotoxic actions,,
7758407,"The participants in this symposium discussed evidence that (i) the initiation of stimulant-induced behavioral sensitization involves NMDA receptor stimulation in the ventral tegmental area (VTA), (ii) competitive and non-competitive NMDA antagonists block the dopaminergic neurotoxic actions of methamphetamine, and (iii) NMDA receptor antagonists block cocaine and methamphetamine-induced increases in striatal neurotensin and dynorphin expression.",,NMDA receptor antagonists,CHEMICAL,NMDA receptor antagonists,,,block,,dynorphin,CHEMICAL,dynorphin,,
7758407,"The participants in this symposium discussed evidence that (i) the initiation of stimulant-induced behavioral sensitization involves NMDA receptor stimulation in the ventral tegmental area (VTA), (ii) competitive and non-competitive NMDA antagonists block the dopaminergic neurotoxic actions of methamphetamine, and (iii) NMDA receptor antagonists block cocaine and methamphetamine-induced increases in striatal neurotensin and dynorphin expression.",,NMDA receptor antagonists,CHEMICAL,NMDA receptor antagonists,,,block,,striatal neurotensin,CHEMICAL,striatal neurotensin,,
7758407,"The participants in this symposium discussed evidence that (i) the initiation of stimulant-induced behavioral sensitization involves NMDA receptor stimulation in the ventral tegmental area (VTA), (ii) competitive and non-competitive NMDA antagonists block the dopaminergic neurotoxic actions of methamphetamine, and (iii) NMDA receptor antagonists block cocaine and methamphetamine-induced increases in striatal neurotensin and dynorphin expression.",,NMDA receptor antagonists,CHEMICAL,NMDA receptor antagonists,,,block,,cocaine,CHEMICAL,cocaine,,
34969212,"Research aimed at identifying the causative agents of pain syndromes include single nucleotidepolymorphism (SNP), family history studies, twin siblings' genetic diversity studies, and recently, also a genome-wide association study (GWAS).",,pain syndromes,MENTAL_HEALTH,pain syndromes,,,include,,SNP,CHEMICAL,best candidate single-nucleotide polymorphism,,
30397567,Antidepressant use in BD has been associated with a risk of manic switch as well as potential destabilization of mood.,,Antidepressant use,CHEMICAL,Antidepressant use,,,associated with risk of,,manic switch,DISEASE,manic switch,,
30397567,"While benzodiazepine medications are recommended as third-line therapy in the CANMAT task force recommendations, their use should be avoided in patients with comorbid BD, posttraumatic stress disorder, and substance use disorders.",,benzodiazepine medications,CHEMICAL,benzodiazepine medications,,,recommended as,,third-line therapy,CHEMICAL,third-line therapy,,
1742149,"Nocturnal asthma is due to circadian changes in hormonal secretion (catecholamines, cortisol), as well as supine posture, reduced muco-ciliary clearance, gastro-esophageal reflux etc.",,hormonal secretion catecholamines,CHEMICAL,hormonal secretion catecholamines,,,reduce,,gastro-esophageal reflux,DISEASE,gastro-esophageal reflux,,
35217314,"The single SNP association was tested using binary logistic regression, and we performed Classification and Regression Tree (CART) analysis to evaluate genotype combinations' effects on ADHD susceptibility.",,single SNP association,CHEMICAL,single SNP association,,,use,,binary logistic regression,MENTAL_HEALTH,binary logistic regression,,
35217314,CART analysis showed that the combined effects of genotype GG in rs2144833 and CC in rs10129500 were associated with ADHD (OR = 1.78; CI95% = 1.24-2.55).,,CC,CHEMICAL,CC,,,associated with,,ADHD,MENTAL_HEALTH,Attention-deficit/hyperactivity disorder,,
35217314,These results suggest a shared genetic component between cortisol levels and ADHD.,,cortisol levels,CHEMICAL,cortisol levels,,,have genetic component with,,ADHD,MENTAL_HEALTH,Attention-deficit/hyperactivity disorder,,
35217314,These results suggest a shared genetic component between cortisol levels and ADHD.,,ADHD,MENTAL_HEALTH,Attention-deficit/hyperactivity disorder,,,have genetic component with,,cortisol levels,CHEMICAL,cortisol levels,,
35217314,"HPA dysregulation/altered stress response in ADHD might be mediated by upregulation of corticosteroid binding globulin (CBG, encoded by SERPINA6) expression.",,ADHD,MENTAL_HEALTH,Attention-deficit/hyperactivity disorder,,,mediated by upregulation of,,CBG,CHEMICAL,CBG,,
34695542,Stressful episodes and high alcohol consumption during adolescence are considered major risk factors for the development of psychiatric disorders in adulthood.,,high alcohol consumption,CHEMICAL,high alcohol consumption,,,considered major risk factors for development of,,psychiatric disorders,DISEASE,psychiatric disorders,,
15890657,"Propionyl-CoA carboxylase (PCC) is a biotin-dependent mitochondrial enzyme that catalyzes the conversion of propionyl-CoA to D-methylmalonyl-CoA. PCC consists of two heterologous subunits, alpha PCC and beta PCC, which are encoded by the nuclear PCCA and PCCB genes, respectively.",,biotin-dependent mitochondrial enzyme,CHEMICAL,biotin-dependent mitochondrial enzyme,,,consist of,,alpha PCC,NUTRITION,alpha PCC,,
15890657,"Propionyl-CoA carboxylase (PCC) is a biotin-dependent mitochondrial enzyme that catalyzes the conversion of propionyl-CoA to D-methylmalonyl-CoA. PCC consists of two heterologous subunits, alpha PCC and beta PCC, which are encoded by the nuclear PCCA and PCCB genes, respectively.",,biotin-dependent mitochondrial enzyme,CHEMICAL,biotin-dependent mitochondrial enzyme,,,consist of,,beta,BIOCHEMICAL,beta,,
34871603,"However, excessive DA dose can lead to impulse control disorder.",,excessive DA dose,CHEMICAL,excessive DA dose,,,lead to,,impulse control disorder,MENTAL_HEALTH,impulse control disorder,,
34687915,Temozolomide may be used for aggressive or malignant carcinomas.,,Temozolomide,CHEMICAL,Temozolomide,,,used for,,aggressive carcinomas,DISEASE,aggressive carcinomas,,
33069545,"Due to its sympatholytic mechanism of action, Guanfacine can cause autonomic instability and hypotension.",,Guanfacine,CHEMICAL,Guanfacine,,,cause due its sympatholytic mechanism of,,instability,DISEASE,instability,,
33069545,"Due to its sympatholytic mechanism of action, Guanfacine can cause autonomic instability and hypotension.",,Guanfacine,CHEMICAL,Guanfacine,,,cause due its sympatholytic mechanism of,,hypotension,DISEASE,hypotension,,
33069545,The authors present a case of a 17 year-old male with an ingestion of 80 mg of extended release Guanfacine with delayed onset cardiogenic pulmonary edema requiring mechanical ventilation.,,extended release Guanfacine,CHEMICAL,extended release Guanfacine,,,have mg with,,cardiogenic pulmonary edema,DISEASE,cardiogenic pulmonary edema,,
33069545,"Previous pediatric ingestions have generated bradycardia, hypotension, and decreased level of consciousness, responsive to intravenous fluids, vasopressors, and occasionally naloxone.",,Previous pediatric ingestions,DISEASE,Previous pediatric ingestions,,,generate,,bradycardia,DISEASE,bradycardia,,
33069545,"Previous pediatric ingestions have generated bradycardia, hypotension, and decreased level of consciousness, responsive to intravenous fluids, vasopressors, and occasionally naloxone.",,Previous pediatric ingestions,DISEASE,Previous pediatric ingestions,,,generate,,hypotension,DISEASE,hypotension,,
34515824,"Lysergic acid diethylamide (LSD) is used in psychiatric and psychological research and investigated as a potential treatment for medical and psychiatric disorders, including depression, anxiety, and cluster headache.",,Lysergic acid diethylamide,CHEMICAL,Lysergic acid diethylamide,,,used in,,psychiatric research,DISEASE,psychiatric research,,
34515824,"Lysergic acid diethylamide (LSD) is used in psychiatric and psychological research and investigated as a potential treatment for medical and psychiatric disorders, including depression, anxiety, and cluster headache.",,Lysergic acid diethylamide,CHEMICAL,Lysergic acid diethylamide,,,investigate as potential treatment for,,anxiety,MENTAL_HEALTH,experimental chronic stress,,
34515824,"Lysergic acid diethylamide (LSD) is used in psychiatric and psychological research and investigated as a potential treatment for medical and psychiatric disorders, including depression, anxiety, and cluster headache.",,Lysergic acid diethylamide,CHEMICAL,Lysergic acid diethylamide,,,investigate as potential treatment for,,cluster headache,MENTAL_HEALTH,cluster headache,,
34515824,"Lysergic acid diethylamide (LSD) is used in psychiatric and psychological research and investigated as a potential treatment for medical and psychiatric disorders, including depression, anxiety, and cluster headache.",,Lysergic acid diethylamide,CHEMICAL,Lysergic acid diethylamide,,,investigate as potential treatment for,,depression,MENTAL_HEALTH,central alpha-2 receptors,,
34515824,"Lysergic acid diethylamide (LSD) is used in psychiatric and psychological research and investigated as a potential treatment for medical and psychiatric disorders, including depression, anxiety, and cluster headache.",,Lysergic acid diethylamide,CHEMICAL,Lysergic acid diethylamide,,,investigate as potential treatment for,,medical disorders,DISEASE,medical disorders,,
23983976,"Upon commencing drug therapy with lamotrigine, these complex visual disturbances receded almost completely.",,complex visual disturbances,DISEASE,complex visual disturbances,,,commence drug therapy with,,lamotrigine,CHEMICAL,lamotrigine,,
23983976,"Upon commencing drug therapy with lamotrigine, these complex visual disturbances receded almost completely.",,complex visual disturbances,DISEASE,complex visual disturbances,,,commence,,drug therapy,BIOCHEMICAL,drug therapy,,
27032391,"Levels of nNOS, NO, and phosphor-CREB were increased in HSP mice followed by a significant decline in early-EW mice with a subsequent restoration in late-EW mice.",,NO,CHEMICAL,nitric oxide,,,increased in,,HSP mice,DISEASE,HSP mice,,
27032391,The treatment of early-EW mice with NO donor alleviated depressive-like behaviors and decline of phosphor-CREB.,,NO donor,CHEMICAL,NO donor,,,alleviate,,depressive-like behaviors,DISEASE,depressive-like behaviors,,
27032391,The nNOS inhibitor and NO scavenger caused depressive-like behaviors and reduced phosphor-CREB in HSP mice and late-EW mice.,,NO scavenger,CHEMICAL,NO scavenger,,,reduced phosphor-creb in,,HSP mice,DISEASE,HSP mice,,
23006866,"In another group of rats, vasopressin 2 receptor agonist was used peripherally to exclude secondary changes due to diabetes insipidus.",,vasopressin receptor agonist,CHEMICAL,vasopressin receptor agonist,,,exclude secondary changes due to,,diabetes insipidus,DISEASE,diabetes insipidus,,
19146203,"Menopause, due to the physiological decrease in the estrogens levels, is often associated with many symptoms related to vaginal atrophy such vaginal dryness, dyspareunia, burning, itching, decreasing in libido and therefore a worsening of the quality of life and in particular of the sexual activity.",,estrogens levels,CHEMICAL,estrogens levels,,,associated with many symptoms related to,,vaginal dryness,DISEASE,vaginal dryness,,
19146203,"Menopause, due to the physiological decrease in the estrogens levels, is often associated with many symptoms related to vaginal atrophy such vaginal dryness, dyspareunia, burning, itching, decreasing in libido and therefore a worsening of the quality of life and in particular of the sexual activity.",,estrogens levels,CHEMICAL,estrogens levels,,,associated with many symptoms related to,,itching,DISEASE,itching,,
19146203,"Menopause, due to the physiological decrease in the estrogens levels, is often associated with many symptoms related to vaginal atrophy such vaginal dryness, dyspareunia, burning, itching, decreasing in libido and therefore a worsening of the quality of life and in particular of the sexual activity.",,estrogens levels,CHEMICAL,estrogens levels,,,associated with many symptoms related to,,vaginal atrophy,DISEASE,vaginal atrophy,,
19146203,"Menopause, due to the physiological decrease in the estrogens levels, is often associated with many symptoms related to vaginal atrophy such vaginal dryness, dyspareunia, burning, itching, decreasing in libido and therefore a worsening of the quality of life and in particular of the sexual activity.",,estrogens levels,CHEMICAL,estrogens levels,,,associated with many symptoms related to,,dyspareunia,MENTAL_HEALTH,dyspareunia,,
35435568,"Previous data have demonstrated that the levels of homocysteine (Hcy) are significantly elevated in the plasma of stressed animals, which suggests that Hcy is associated with stress and cognitive decline.",,Hcy,CHEMICAL,homocysteine,,,associated with,,cognitive decline,DISEASE,cognitive decline,,
35435568,"Diet-induced HHcy mimicked the cognitive decline and BDNF downregulation in the same manner as CUMS, while Hcy reduction (by means of vitamin B complex supplements) alleviated the cognitive deficits and BDNF reduction in CUMS rats.",,Diet-induced HHcy,DISEASE,Diet-induced HHcy,,,mimic,,cognitive decline,DISEASE,cognitive decline,,
35435568,"Diet-induced HHcy mimicked the cognitive decline and BDNF downregulation in the same manner as CUMS, while Hcy reduction (by means of vitamin B complex supplements) alleviated the cognitive deficits and BDNF reduction in CUMS rats.",,vitamin B complex,BIOCHEMICAL,vitamin B complex,,,alleviate cognitive deficits and bdnf reduction in,,CUMS rats,DISEASE,CUMS rats,,
35435568,"Diet-induced HHcy mimicked the cognitive decline and BDNF downregulation in the same manner as CUMS, while Hcy reduction (by means of vitamin B complex supplements) alleviated the cognitive deficits and BDNF reduction in CUMS rats.",,vitamin B complex,BIOCHEMICAL,vitamin B complex,,,alleviate,,cognitive deficits,DISEASE,cognitive deficits,,
35435568,"Diet-induced HHcy mimicked the cognitive decline and BDNF downregulation in the same manner as CUMS, while Hcy reduction (by means of vitamin B complex supplements) alleviated the cognitive deficits and BDNF reduction in CUMS rats.",,Hcy reduction,CHEMICAL,Hcy reduction,,,alleviate cognitive deficits and bdnf reduction in,,CUMS rats,DISEASE,CUMS rats,,
35435568,"Diet-induced HHcy mimicked the cognitive decline and BDNF downregulation in the same manner as CUMS, while Hcy reduction (by means of vitamin B complex supplements) alleviated the cognitive deficits and BDNF reduction in CUMS rats.",,Hcy reduction,CHEMICAL,Hcy reduction,,,alleviate,,cognitive deficits,DISEASE,cognitive deficits,,
35435568,These results imply the possibility of a causal role of Hcy in stress-induced cognitive decline.,,Hcy,CHEMICAL,homocysteine,,,have a causal role in,,stress-induced cognitive decline,DISEASE,stress-induced cognitive decline,,
35435568,"Taken together, novel evidence from the present study suggests that Hcy is likely involved in chronic stress-induced BDNF reduction and related cognitive deficits.",,Hcy,CHEMICAL,homocysteine,,,involved in,,related cognitive deficits,DISEASE,related cognitive deficits,,
27435080,Hcy-targeting intervention experiments were used to verify further the involvement of Hcy in stress-induced APP misprocessing and related cognitive decline.,,Hcy,CHEMICAL,homocysteine,,,have the involvement in,,related cognitive decline,DISEASE,related cognitive decline,,
27435080,"The results showed that diet-induced HHcy could mimic the cognitive impairment and APP misprocessing in the same manner as CUMS, while Hcy reduction by means of vitamin B complex supplements and betaine could alleviate the cognitive deficits and dysregulation of Aβ metabolism in CUMS rats.",,betaine,CHEMICAL,betaine,,,alleviate cognitive deficits and dysregulation of aβ metabolism in,,CUMS rats,DISEASE,CUMS rats,,
27435080,"The results showed that diet-induced HHcy could mimic the cognitive impairment and APP misprocessing in the same manner as CUMS, while Hcy reduction by means of vitamin B complex supplements and betaine could alleviate the cognitive deficits and dysregulation of Aβ metabolism in CUMS rats.",,betaine,CHEMICAL,betaine,,,alleviate,,cognitive deficits,DISEASE,cognitive deficits,,
27435080,"The results showed that diet-induced HHcy could mimic the cognitive impairment and APP misprocessing in the same manner as CUMS, while Hcy reduction by means of vitamin B complex supplements and betaine could alleviate the cognitive deficits and dysregulation of Aβ metabolism in CUMS rats.",,vitamin B complex,BIOCHEMICAL,vitamin B complex,,,alleviate cognitive deficits and dysregulation of aβ metabolism in,,CUMS rats,DISEASE,CUMS rats,,
27435080,"The results showed that diet-induced HHcy could mimic the cognitive impairment and APP misprocessing in the same manner as CUMS, while Hcy reduction by means of vitamin B complex supplements and betaine could alleviate the cognitive deficits and dysregulation of Aβ metabolism in CUMS rats.",,Hcy reduction,CHEMICAL,Hcy reduction,,,alleviate cognitive deficits and dysregulation of aβ metabolism in,,CUMS rats,DISEASE,CUMS rats,,
27435080,"The results showed that diet-induced HHcy could mimic the cognitive impairment and APP misprocessing in the same manner as CUMS, while Hcy reduction by means of vitamin B complex supplements and betaine could alleviate the cognitive deficits and dysregulation of Aβ metabolism in CUMS rats.",,diet-induced HHcy,DISEASE,diet-induced HHcy,,,mimic,,cognitive impairment,DISEASE,cognitive impairment,,
35217671,"Based on the essential role of polyunsaturated fatty acids in brain function and the treatment of schizophrenia, we hypothesize that disordered fatty acid metabolism may contribute to treatment resistance in multi-episode patients.",,disordered fatty acid metabolism,NUTRITION,disordered fatty acid metabolism,,,contribute to treatment resistance in,,multi-episode patients,DISEASE,multi-episode patients,,
35217671,"Based on the essential role of polyunsaturated fatty acids in brain function and the treatment of schizophrenia, we hypothesize that disordered fatty acid metabolism may contribute to treatment resistance in multi-episode patients.",,disordered fatty acid metabolism,NUTRITION,disordered fatty acid metabolism,,,contribute to,,treatment resistance,MENTAL_HEALTH,treatment resistance,,
35217671,"Results of fatty acid ratios suggested that dysregulations of enzymes such as D6 desaturase, D5 desaturase, and elongases for polyunsaturated fatty acids in patients with multi-episode schizophrenia could account for the differences.",,polyunsaturated fatty acids,NUTRITION,polyunsaturated fatty acids,,,in patients with,,multi-episode schizophrenia,MENTAL_HEALTH,multi-episode schizophrenia,,
2141249,"Rheumatoid arthritis (RA) patients were investigated for relationships between the concentrations of various plasma opioid peptides (beta-endorphin (beta-end), methionine-enkephalin (Met-enk), leucine-enkephalin (Leu-enk) and the lymphocyte subsets, serum immunoglobulins, the patient's mood or emotion, and the RA activity.",,Rheumatoid arthritis patients,DISEASE,Rheumatoid arthritis patients,,,investigated for relationships between concentrations of,,Leu-enk,CHEMICAL,leucine-enkephalin,,
2141249,"Rheumatoid arthritis (RA) patients were investigated for relationships between the concentrations of various plasma opioid peptides (beta-endorphin (beta-end), methionine-enkephalin (Met-enk), leucine-enkephalin (Leu-enk) and the lymphocyte subsets, serum immunoglobulins, the patient's mood or emotion, and the RA activity.",,Rheumatoid arthritis patients,DISEASE,Rheumatoid arthritis patients,,,investigated for relationships between concentrations of,,RA activity,DISEASE,RA activity,,
23859128,"Pramipexole, ropinirole, and rotigotine have been established as effective for up to 6 months in treating RLS/WED (Level A).",,ropinirole,CHEMICAL,ropinirole,,,treat,,RLS/WED,DISEASE,restless legs syndrome/Willis-Ekbom disease,,
23859128,"Pramipexole, ropinirole, and rotigotine have been established as effective for up to 6 months in treating RLS/WED (Level A).",,Pramipexole,CHEMICAL,Pramipexole,,,treat,,RLS/WED,DISEASE,restless legs syndrome/Willis-Ekbom disease,,
23859128,"The use of either a dopamine-receptor agonist or α2δ calcium-channel ligand is recommended as the first-line treatment of RLS/WED for most patients, with the choice of agent dependent on the patient's severity of RLS/WED symptoms, cognitive status, history, and comorbid conditions.",,α2δ calcium-channel ligand,CHEMICAL,α2δ calcium-channel ligand,,,recommended as first-line treatment of rls/wed for,,RLS/WED symptoms,DISEASE,RLS/WED symptoms,,
17017553,"Insomnia can be improved by a better control of night-time disability, restless legs syndrome and dystonia using subthalamic nucleus stimulation or night-time levodopa.",,Insomnia,MENTAL_HEALTH,Insomnia,,,improved by better control of,,dystonia,DISEASE,dystonia,,
17017553,"Insomnia can be improved by a better control of night-time disability, restless legs syndrome and dystonia using subthalamic nucleus stimulation or night-time levodopa.",,Insomnia,MENTAL_HEALTH,Insomnia,,,improved by better control of,,legs syndrome,DISEASE,legs syndrome,,
35300756,"In this systematic review and metaanalysis, we investigate the possible beneficial effects of the intake of berries high in anthocyanins on MetS risk factors.",,anthocyanins,NUTRITION,anthocyanins,,,have berries high on,,MetS risk factors,DISEASE,MetS risk factors,,
33435749,"Therefore, dietary supplements, including vitamins and minerals, probiotics as well as individual nutritional behaviour can be used as adjuvant therapy together with antiviral medicines in the management of COVID-19 disease.",,vitamins,BIOCHEMICAL,vitamins,,,used as adjuvant therapy with antiviral medicines in management of,,COVID-19 disease,DISEASE,COVID-19 disease,,
35447389,A wide spread of chloroquine resistance prompted its discontinued use for treatment of uncomplicated malaria in several African countries.,,chloroquine resistance,CHEMICAL,chloroquine resistance,,,discontinued use for treatment of,,uncomplicated malaria,DISEASE,uncomplicated malaria,,
