PMID,Sentence,E1,Type_E1,Relation,E2,Type_E2
34302568,"The repression of JA biosynthesis is accompanied by the induction of ETH, ABA, and SA signaling and pathogenic infection defensive responses, resulting in counteracting JA-induced metabolic reprogramming and decreasing the expression of nicotine biosynthetic genes in vivo.",repression,MENTAL_HEALTH,decrease expression of,nicotine biosynthetic genes,CHEMICAL
26668065,"The EGFR inhibitor erlotinib is approved for treatment of pancreatic cancer, but has shown modest activity in most patients.",EGFR inhibitor erlotinib,CHEMICAL,approved for treatment of,pancreatic cancer,DISEASE
27581446,"Cerebellar granule cell GABAA receptor responses to alcohol vary as a function of alcohol consumption phenotype, representing a potential neural mechanism for genetic predilection for alcohol abuse (Kaplan et al., 2013; Mohr et al., 2013).",alcohol,CHEMICAL,represent potential neural mechanism for genetic predilection for,alcohol abuse,MENTAL_HEALTH
27581446,"Cerebellar granule cell GABAA receptor responses to alcohol vary as a function of alcohol consumption phenotype, representing a potential neural mechanism for genetic predilection for alcohol abuse (Kaplan et al., 2013; Mohr et al., 2013).",alcohol,CHEMICAL,vary as function of,alcohol consumption phenotype,CHEMICAL
29168423,Recent studies showed that vitamin D deficiency may lead to dysfunctional changes in the brain and may be associated with neuropsychiatric diseases.,vitamin D deficiency,BIOCHEMICAL,associated with,neuropsychiatric diseases,DISEASE
30422674,We therefore hypothesized that low-dose spironolactone would ameliorate obesity and IR in estrogen-deprived rats by replenishing estrogen and suppressing elevated glycogen synthase kinase-3 (GSK-3).,low-dose spironolactone,CHEMICAL,ameliorate,obesity,DISEASE
30422674,We therefore hypothesized that low-dose spironolactone would ameliorate obesity and IR in estrogen-deprived rats by replenishing estrogen and suppressing elevated glycogen synthase kinase-3 (GSK-3).,low-dose spironolactone,CHEMICAL,replenish,estrogen,CHEMICAL
30422674,"Results showed that estrogen deprivation through ovariectomy caused increased body mass gain and visceral adiposity that are accompanied by increased HOMA-IR, HOMA-β, 1-hour postload glucose, glucose intolerance, platelet/lymphocyte ratio, plasma insulin, atherogenic dyslipidemia, uric acid, GSK-3, corticosterone, and aldosterone and depressed 17β-estradiol.",estrogen deprivation,CHEMICAL,cause increased,body mass gain,DISEASE
30422674,"Results showed that estrogen deprivation through ovariectomy caused increased body mass gain and visceral adiposity that are accompanied by increased HOMA-IR, HOMA-β, 1-hour postload glucose, glucose intolerance, platelet/lymphocyte ratio, plasma insulin, atherogenic dyslipidemia, uric acid, GSK-3, corticosterone, and aldosterone and depressed 17β-estradiol.",estrogen deprivation,CHEMICAL,cause increased,visceral adiposity,DISEASE
10823960,"Exposure to ad libitum cocaine reinstated baseline values in control animals and resulted in double to triple the baseline values of self-infusions in vaccinated animals, suggesting a partial antibody-mediated blockade of cocaine access to the central nervous system.",libitum cocaine,CHEMICAL,suggest partial antibody-mediated blockade of,cocaine access,CHEMICAL
12172708,"Sumatriptan, a 5-HT(1B/1D/1F) receptor agonist, is used to relieve migraine headache.",Sumatriptan,CHEMICAL,relieve,migraine headache,MENTAL_HEALTH
12172708,Sumatriptan can cause myocardial ischaemia and myocardial infarction.,Sumatriptan,CHEMICAL,cause,myocardial infarction,DISEASE
12172708,Sumatriptan can cause myocardial ischaemia and myocardial infarction.,Sumatriptan,CHEMICAL,cause,myocardial ischaemia,DISEASE
12172708,"While previous in-vitro studies have shown that sumatriptan has no or only weak contractile activity in human omental arteries, recent clinical studies suggest that sumatriptan may induce mesenteric ischaemia.",sumatriptan,CHEMICAL,induce,mesenteric ischaemia,DISEASE
12172708,These findings suggest that sumatriptan may induce ischaemia in human mesenteric vasculature directly or in the presence of precontractile risk factors.,sumatriptan,CHEMICAL,induce,ischaemia,DISEASE
33851280,This study investigated whether vitamin D is associated with the presence or severity of chronic tic disorders and their psychiatric comorbidities.,vitamin D,BIOCHEMICAL,associated with the presence or severity of,chronic tic disorders,DISEASE
33851280,This study investigated whether vitamin D is associated with the presence or severity of chronic tic disorders and their psychiatric comorbidities.,vitamin D,BIOCHEMICAL,associated with the presence or severity of,psychiatric comorbidities,DISEASE
31933522,Vitamin D deficiency has been found in children with chronic tic disorders (CTDs).,Vitamin D deficiency,BIOCHEMICAL,found in children with,chronic tic disorders,DISEASE
21063035,"Therefore, chronic in utero ethanol exposure produces a dual state of CNS insulin resistance and oxidative stress, which we postulate plays a major role in ethanol neurobehavioral teratogenesis.",utero ethanol exposure,CHEMICAL,produce dual state of,CNS insulin resistance,MENTAL_HEALTH
18308797,"The current study tested the hypothesis that chronic loss of inhibitory GABAergic tone in the bed nucleus of the stria terminalis (BNST), a region implicated in anxiety behavior, results in generalized anxiety disorder-like behaviors without panic-like responses (i.e., tachycardia, hypertension and tachypnea) following panicogenic stimuli (e.g., sodium lactate infusions).",chronic loss,DISEASE,result in,anxiety disorder-like behaviors,MENTAL_HEALTH
18308797,"To assess panic-like states, L-AG treated rats were intravenously infused with 0.5 M sodium lactate, a panicogenic agent, prior to assessing SI and cardiorespiratory responses.",L-AG,CHEMICAL,assess,panic-like states,DISEASE
18308797,"These findings demonstrate that GABA inhibition in the BNST elicits anxiety-like behavior without increasing sensitivity to lactate, thus suggesting a behavioral profile similar to that of generalized anxiety-like behavior rather than that of panic.",GABA inhibition,CHEMICAL,suggest behavioral profile similar to,panic,DISEASE
18308797,"These findings demonstrate that GABA inhibition in the BNST elicits anxiety-like behavior without increasing sensitivity to lactate, thus suggesting a behavioral profile similar to that of generalized anxiety-like behavior rather than that of panic.",GABA inhibition,CHEMICAL,elicit,anxiety-like behavior,DISEASE
8282133,Mental confusion developed and serum sodium level dropped with urinary sodium concentration above 20mEq/l when thyroid replacement was started with the cessation of saline infusion.,serum sodium level,CHEMICAL,drop with,urinary sodium concentration,CHEMICAL
207218,Mental confusion disappeared and natremia became normal in all patients with therapy with cortisone and thyroid hormones.,natremia,CHEMICAL,become in patients with therapy with,cortisone,CHEMICAL
20488021,"In this study, the effects of insulin-induced hypoglycemia on brain phospholipid metabolism were examined in rats which were prior injected with (32)Pi.",insulin-induced hypoglycemia,DISEASE,have the effects on,brain phospholipid metabolism,NUTRITION
20488021,"In the cortex, hypoglycemic condition resulted in an increase in (32)Pi uptake into the phospholipids.",hypoglycemic condition,DISEASE,result in cortex in increase in (32)pi uptake into,phospholipids,NUTRITION
20488021,"In the cortex, hypoglycemic condition resulted in an increase in (32)Pi uptake into the phospholipids.",hypoglycemic condition,DISEASE,result in cortex in increase in,(32)Pi uptake,CHEMICAL
23224660,"Further analyses revealed that low self-control significantly (p < .001) predicts at-risk/probable pathological gambling, frequent gambling, strong permissiveness toward gambling, heavy use of tobacco and alcohol, and delinquent involvement, even after controlling for the potential shared correlates of socioeconomic characteristics, parental monitoring and peer delinquency.",low self-control,CHEMICAL,predict,delinquent,DISEASE
23224660,"Further analyses revealed that low self-control significantly (p < .001) predicts at-risk/probable pathological gambling, frequent gambling, strong permissiveness toward gambling, heavy use of tobacco and alcohol, and delinquent involvement, even after controlling for the potential shared correlates of socioeconomic characteristics, parental monitoring and peer delinquency.",low self-control,CHEMICAL,predict,alcohol,CHEMICAL
8501420,Decreased serum vitamin B12 levels occur in up to 20% of patients with acquired immune deficiency syndrome (AIDS) and may adversely contribute to the haematologic and neurologic dysfunction which is frequently attributed to the human immunodeficiency virus.,serum vitamin B12,BIOCHEMICAL,occur in to % of patients with,immune deficiency syndrome,DISEASE
8501420,Decreased serum vitamin B12 levels occur in up to 20% of patients with acquired immune deficiency syndrome (AIDS) and may adversely contribute to the haematologic and neurologic dysfunction which is frequently attributed to the human immunodeficiency virus.,serum vitamin B12,BIOCHEMICAL,occur in to % of patients with,AIDS,DISEASE
8501420,Decreased serum vitamin B12 levels occur in up to 20% of patients with acquired immune deficiency syndrome (AIDS) and may adversely contribute to the haematologic and neurologic dysfunction which is frequently attributed to the human immunodeficiency virus.,serum vitamin B12,BIOCHEMICAL,contribute to,haematologic dysfunction,DISEASE
8501420,We believe that the AIDS dementia complex represented a reversible adverse synergistic interaction between the human immunodeficiency virus and vitamin B12 deficiency.,dementia complex,MENTAL_HEALTH,represent reversible synergistic interaction between,vitamin B12 deficiency,DISEASE
8501420,We believe that the AIDS dementia complex represented a reversible adverse synergistic interaction between the human immunodeficiency virus and vitamin B12 deficiency.,dementia complex,MENTAL_HEALTH,represent reversible synergistic interaction between,vitamin B12 deficiency,BIOCHEMICAL
33991535,"Oxaliplatin is being used in different malignancies and several side effects are reported for patients taking Oxaliplatin, including peripheral neuropathy, nausea and vomiting, diarrhea, mouth sores, low blood counts, fatigue, loss of appetite, etc.",Oxaliplatin,CHEMICAL,used in,different malignancies,DISEASE
35145415,The PD model for the pharmacological intervention of AMPA receptors was established by the unilateral lesion of the substantia nigra pars compacta (SNc) with 6-hydroxydopamine (6-OHDA).,PD model,DISEASE,established by unilateral lesion of,6-OHDA,CHEMICAL
35145415,The PD model for the pharmacological intervention of AMPA receptors was established by the unilateral lesion of the substantia nigra pars compacta (SNc) with 6-hydroxydopamine (6-OHDA).,PD model,DISEASE,established by unilateral lesion of,6-hydroxydopamine,CHEMICAL
35145415,The PD model for the pharmacological intervention of AMPA receptors was established by the unilateral lesion of the substantia nigra pars compacta (SNc) with 6-hydroxydopamine (6-OHDA).,AMPA receptors,CHEMICAL,established by unilateral lesion of,6-OHDA,CHEMICAL
35145415,The PD model for the pharmacological intervention of AMPA receptors was established by the unilateral lesion of the substantia nigra pars compacta (SNc) with 6-hydroxydopamine (6-OHDA).,AMPA receptors,CHEMICAL,established by unilateral lesion of,6-hydroxydopamine,CHEMICAL
24635117,"Bilateral intranigral administration of 1-methyl-4-phenyl-1,2,3,6- tetrahydropyridine (MPTP) (100 µg/1 µl/side) produced significant cognitive dysfunctions.",MPTP,CHEMICAL,produce,significant dysfunctions,DISEASE
24635117,"Bilateral intranigral administration of 1-methyl-4-phenyl-1,2,3,6- tetrahydropyridine (MPTP) (100 µg/1 µl/side) produced significant cognitive dysfunctions.","1-methyl-4-phenyl-1,2,3,6- tetrahydropyridine",CHEMICAL,produce,significant dysfunctions,DISEASE
24635117,PPAR-β/δ agonist GW0742 at a dose of 30 and 100 µg/kg showed significant improvement in cognitive impairments caused by MPTP in rat model of PD as evident from passive avoidance and Morris water maze test.,agonist GW0742,CHEMICAL,show significant improvement in,cognitive impairments,DISEASE
24635117,MPTP-induced massive oxidative damage and DNA fragmentation was ameliorated by GW0742 treatment as observed after MDA and GSH estimation and TUNEL assay.,DNA fragmentation,MENTAL_HEALTH,observe after,MDA assay,CHEMICAL
24635117,MPTP-induced massive oxidative damage and DNA fragmentation was ameliorated by GW0742 treatment as observed after MDA and GSH estimation and TUNEL assay.,DNA fragmentation,MENTAL_HEALTH,observe after,GSH,CHEMICAL
24635117,MPTP-induced massive oxidative damage and DNA fragmentation was ameliorated by GW0742 treatment as observed after MDA and GSH estimation and TUNEL assay.,MPTP-induced oxidative damage,DISEASE,observe after,MDA assay,CHEMICAL
24635117,MPTP-induced massive oxidative damage and DNA fragmentation was ameliorated by GW0742 treatment as observed after MDA and GSH estimation and TUNEL assay.,MPTP-induced oxidative damage,DISEASE,observe after,GSH,CHEMICAL
34813674,"We conducted a meta-analysis of the available aquatic toxicity literature for fluoride to evaluate the utility of hardness, alkalinity, and chloride as toxicity-modifying factors (TMFs) in empirical bioavailability models of freshwater taxa.",available aquatic toxicity literature,DISEASE,have a meta-analysis for,fluoride,CHEMICAL
34744005,"While the occurrence of deformities was only significantly increased at 320 μg.L-1 for the rainbow trout, brown trout larvae displayed pericardial edemas and hemorrhages already at 10 or 100 μg.L-1.",brown trout larvae,NUTRITION,display,hemorrhages,DISEASE
34744005,"While the occurrence of deformities was only significantly increased at 320 μg.L-1 for the rainbow trout, brown trout larvae displayed pericardial edemas and hemorrhages already at 10 or 100 μg.L-1.",brown trout larvae,NUTRITION,display,pericardial edemas,DISEASE
29399556,"Results: Spearmint oil reduced body weight, testosterone level, ovarian cysts and atretic follicles and increased Graafian follicles in PCOS rats.",Spearmint oil,NUTRITION,increased graafian follicles in,PCOS rats,DISEASE
7759919,"One case of silicone synovitis requiring secondary surgery was noted 6 years after surgery, accounting for 2.9% of the total number of silicone implants reviewed, but radiological signs of silicone synovitis were much more common (56%).",silicone synovitis,DISEASE,account for % of total number of,silicone implants,CHEMICAL
33440935,"Furthermore, the ion transport property of VF could be reversibly switched by the addition of (R)-propranolol, an aromatic amine known as an antiarrhythmic agent, followed by the addition of β-cyclodextrin for its removal.",VF,DISEASE,switched by addition of,aromatic amine,NUTRITION
26944656,"The increase in monoamine neurotransmitter availability, decrease in hydrogen peroxide production, and neuroprotective effects evoked by MAO inhibitors represent an important approach in the development of new drugs for the treatment of mental disorders and neurodegenerative diseases.",hydrogen peroxide production,CHEMICAL,represent important approach in development of new drugs for,neurodegenerative diseases,DISEASE
26944656,"The increase in monoamine neurotransmitter availability, decrease in hydrogen peroxide production, and neuroprotective effects evoked by MAO inhibitors represent an important approach in the development of new drugs for the treatment of mental disorders and neurodegenerative diseases.",hydrogen peroxide production,CHEMICAL,represent important approach in development of new drugs for,mental disorders,MENTAL_HEALTH
17093977,"Fluoxetine is used to treat unipolar depression and is thought to act by increasing the concentration of serotonin (5-HT) in the synaptic cleft, leading to increased serotonin signaling.",Fluoxetine,CHEMICAL,treat,unipolar depression,MENTAL_HEALTH
14628976,The anticonvulsant lamotrigine was previously shown to be effective for bipolar depression.,anticonvulsant lamotrigine,CHEMICAL,shown to effective for,bipolar depression,MENTAL_HEALTH
14628976,This study assessed the efficacy and tolerability of lamotrigine and lithium compared with placebo for the prevention of mood episodes in bipolar disorder.,mood episodes,DISEASE,have the prevention in,bipolar disorder,MENTAL_HEALTH
23062763,To evaluate quetiapine in patients with bipolar I disorder with mixed symptoms.,quetiapine,CHEMICAL,in patients with,bipolar disorder,MENTAL_HEALTH
35569709,"In conclusion, the present study shows that PCOS patients exhibited increased serum Cr, Hg and Cu levels, which were related to some sex hormones and lipid-metabolism disturbances and inflammatory cytokines releases, and elevated Cu levels were related to pregnancy failure, suggesting that these heavy metals may provide valuable information to predict PCOS.",PCOS patients,DISEASE,exhibit increased,Cu levels,CHEMICAL
35569709,"In conclusion, the present study shows that PCOS patients exhibited increased serum Cr, Hg and Cu levels, which were related to some sex hormones and lipid-metabolism disturbances and inflammatory cytokines releases, and elevated Cu levels were related to pregnancy failure, suggesting that these heavy metals may provide valuable information to predict PCOS.",PCOS patients,DISEASE,exhibit increased,serum Cr related,CHEMICAL
34231526,"The physiological decline in endogenous estrogen can be associated with vasomotor symptoms or hot flashes, sleep disruption, and mood disorders.",endogenous estrogen,CHEMICAL,associated with,mood disorders,MENTAL_HEALTH
28713269,Meta-analyses support the adjunctive use of zinc in major depression and a single study now supports zinc for psychotic symptoms.,zinc,CHEMICAL,have the adjunctive use in,major depression,MENTAL_HEALTH
33562080,MetS was induced in rats by high-fructose high-salt feeding for 12 weeks.,MetS,DISEASE,induced in rats by,high-fructose high-salt feeding,CHEMICAL
33562080,"In addition, AM6545 and AM4113 alleviated the observed swelling and inflammatory cells infiltration in different kidney structures.",AM4113,CHEMICAL,observed,swelling,DISEASE
33562080,"In addition, AM6545 and AM4113 alleviated the observed swelling and inflammatory cells infiltration in different kidney structures.",AM6545,CHEMICAL,observed,swelling,DISEASE
33562080,"Moreover, AM6545 and AM4113 alleviated the observed histopathological alterations in kidney structure of MetS rats.",AM4113,CHEMICAL,alleviate observed histopathological alterations in kidney structure of,MetS rats,DISEASE
33562080,"Moreover, AM6545 and AM4113 alleviated the observed histopathological alterations in kidney structure of MetS rats.",AM6545,CHEMICAL,alleviate observed histopathological alterations in kidney structure of,MetS rats,DISEASE
33562080,MetS was associated with a ten-fold increase in urine uric acid while both compounds blocked this increase.,MetS,DISEASE,associated with ten-fold increase in,urine uric acid,CHEMICAL
33562080,"In conclusion, AM6545 and AM4113, possess reno-protective effects by interfering with TGFβ1-mediated renal inflammation and fibrosis, via peripheral action.",AM4113,CHEMICAL,interfere with,fibrosis,DISEASE
33562080,"In conclusion, AM6545 and AM4113, possess reno-protective effects by interfering with TGFβ1-mediated renal inflammation and fibrosis, via peripheral action.",AM4113,CHEMICAL,interfere with,TGFβ1-mediated renal inflammation,DISEASE
33562080,"In conclusion, AM6545 and AM4113, possess reno-protective effects by interfering with TGFβ1-mediated renal inflammation and fibrosis, via peripheral action.",AM6545,CHEMICAL,interfere with,fibrosis,DISEASE
33562080,"In conclusion, AM6545 and AM4113, possess reno-protective effects by interfering with TGFβ1-mediated renal inflammation and fibrosis, via peripheral action.",AM6545,CHEMICAL,interfere with,TGFβ1-mediated renal inflammation,DISEASE
22314898,Effect of interaction of melatonin and caffeine on caffeine induced oxidative stress and sleep disorders was studied.,caffeine,CHEMICAL,induce,sleep disorders,DISEASE
22314898,Effect of interaction of melatonin and caffeine on caffeine induced oxidative stress and sleep disorders was studied.,melatonin,CHEMICAL,induce,sleep disorders,DISEASE
22314898,Effect of interaction of melatonin and caffeine on caffeine induced oxidative stress and sleep disorders was studied.,caffeine,CHEMICAL,have interaction on,caffeine,CHEMICAL
22314898,Effect of interaction of melatonin and caffeine on caffeine induced oxidative stress and sleep disorders was studied.,melatonin,CHEMICAL,have interaction on,caffeine,CHEMICAL
11852294,"The binding of imipramine to plasma proteins was studied in 20 adult patients with endogenous depression, with the purpose of assessing the effect produced by its simultaneous administration with an analgesic.",imipramine,CHEMICAL,studied in adult patients with,endogenous depression,MENTAL_HEALTH
11852294,"The levels of free imipramine increased when ASA was administered, indicating a displacement on the binding to plasma proteins.",free imipramine,CHEMICAL,indicate,displacement,MENTAL_HEALTH
6091098,"The endorphin-excess and -deficiency hypotheses of schizophrenia are reviewed in the light of naloxone's small but statistically significant antipsychotic action, and the activation of endorphinergic systems in the course of neuroleptic therapy.",schizophrenia,MENTAL_HEALTH,reviewed in light of,naloxone,CHEMICAL
35006374,"Children with OSAS also showed increased transaminase, glucose, uric acid, and insulin levels (all p < 0.001) compared to healthy controls.",OSAS,DISEASE,show increased,glucose,CHEMICAL
35006374,"Children with OSAS also showed increased transaminase, glucose, uric acid, and insulin levels (all p < 0.001) compared to healthy controls.",OSAS,DISEASE,show increased,uric acid,CHEMICAL
3310672,"The antipsychotic potency of the partial opiate agonist buprenorphine was evaluated in 10 neuroleptic-free schizophrenic patients suffering from frequent hallucinations, delusions, and severe formal thought disorders.",opiate agonist buprenorphine,CHEMICAL,evaluated in,neuroleptic-free schizophrenic patients,DISEASE
3074921,"Routine clinical chemical variables and parameters of the vitamin, iron and zinc status were measured in 20 female patients with anorexia nervosa (AN) and in 10 lean and 10 normal weight, healthy, female control subjects.",vitamin,BIOCHEMICAL,measured in female patients with,anorexia nervosa,MENTAL_HEALTH
9530548,Tiagabine appeared to produce a sustained reduction in seizure frequency in studies of up to 12 months' duration.,Tiagabine,CHEMICAL,produce sustained reduction in,seizure frequency,DISEASE
9530548,Further investigation of the efficacy of tiagabine is expected to provide a clearer definition of its place in the treatment of epilepsy and its relative merits in relation to other antiepileptic drugs.,tiagabine,CHEMICAL,provide clearer definition of its place in treatment of,epilepsy,DISEASE
10091618,"We investigated the effect of an anticholinergic (biperiden) and a dopamine agonist (apomorphine) on tremor, rigidity, and akinesia in patients with idiopathic Parkinson's disease.",akinesia,MENTAL_HEALTH,in patients with,idiopathic Parkinson's disease,DISEASE
10091618,"Resting (RT), postural (PT), and action tremor (AT) were assessed using spectral analysis of accelerometer data, and Unified Parkinson's Disease Rating Scale (UPDRS) scores for rigidity and akinesia were determined before and after administration of the study drug.",rigidity,DISEASE,determined before and after administration of,study drug,BIOCHEMICAL
10091618,"Both single-dose challenges significantly reduced the amplitude of RT, PT, and AT, but only apomorphine significantly reduced UPDRS scores for rigidity and akinesia.",apomorphine,CHEMICAL,reduce updrs scores for,rigidity,DISEASE
10091618,"Both single-dose challenges significantly reduced the amplitude of RT, PT, and AT, but only apomorphine significantly reduced UPDRS scores for rigidity and akinesia.",apomorphine,CHEMICAL,reduce updrs scores for,akinesia,MENTAL_HEALTH
7631093,"Three groups of patients with Parkinson's disease (PD) were studied: (1) PD patients treated medically with L-Dopa and anticholinergics, (2) PD patients treated with thalamo-subthalamotomies plus medical treatment, and (3) PD patients treated with autologous adrenal medullary transplantation to right caudate nucleus plus medical treatment.",PD patients,DISEASE,treat,L-Dopa,CHEMICAL
29954354,The effects of the seaweed extract were evaluated on the animal model equivalent of depression compared with a control group treated with the carrier (spring water) and a reference group treated with Imipramine and showed significative effect.,seaweed extract,NUTRITION,evaluated on animal model equivalent of,depression,MENTAL_HEALTH
29954354,The primary objective was to compare against a placebo the effect of Ulva L.L extract in healthy volunteers whose anhedonia was characterized by a component of depression.,whose's anhedonia,MENTAL_HEALTH,characterized by component of,depression,MENTAL_HEALTH
33400967,Bromocriptine Mesylate (BRM) acts as a dopamine receptor agonist along with antioxidant effect and is utilized in the treatment of Parkinson's disease (PD).,Bromocriptine Mesylate,CHEMICAL,utilized in treatment of parkinson's,PD,DISEASE
33400967,Bromocriptine Mesylate (BRM) acts as a dopamine receptor agonist along with antioxidant effect and is utilized in the treatment of Parkinson's disease (PD).,Bromocriptine Mesylate,CHEMICAL,act as,dopamine receptor,CHEMICAL
33400967,Replenishment of GSH inside the brain can play a major role in the management of PD.,GSH,CHEMICAL,play major role in management of,PD,DISEASE
26220941,"For instance, mutations in genes critical for the synthesis of dopamine, including GCH1 and TH cause l-DOPA-responsive dystonia.",dopamine,CHEMICAL,cause for,l-DOPA-responsive dystonia,DISEASE
26220941,"Mice homozygous for this mutation displayed the core features of the human disorder, including reduced TH activity, dystonia that worsened throughout the course of the active phase, and improvement in the dystonia in response to both l-DOPA and trihexyphenidyl.",dystonia,DISEASE,have and improvement in,l-DOPA,CHEMICAL
26220941,"Mice homozygous for this mutation displayed the core features of the human disorder, including reduced TH activity, dystonia that worsened throughout the course of the active phase, and improvement in the dystonia in response to both l-DOPA and trihexyphenidyl.",dystonia,DISEASE,have and improvement in,trihexyphenidyl,CHEMICAL
26220941,Microinjection of l-DOPA directly into the striatum ameliorated the dystonic movements but cerebellar microinjections of l-DOPA had no effect.,l-DOPA,CHEMICAL,ameliorate,dystonic movements,DISEASE
26220941,"Administration of D1- or D2-like dopamine receptor agonists to enhance dopamine signalling reduced the dystonic movements, whereas administration of D1- or D2-like dopamine receptor antagonists to further reduce dopamine signalling worsened the dystonia, suggesting that both receptors mediate the abnormal movements.",D1- dopamine receptor antagonists,CHEMICAL,reduce,dopamine signalling,CHEMICAL
26220941,"Administration of D1- or D2-like dopamine receptor agonists to enhance dopamine signalling reduced the dystonic movements, whereas administration of D1- or D2-like dopamine receptor antagonists to further reduce dopamine signalling worsened the dystonia, suggesting that both receptors mediate the abnormal movements.",D1- dopamine receptor agonists,CHEMICAL,worsen,dystonia,DISEASE
26220941,"Administration of D1- or D2-like dopamine receptor agonists to enhance dopamine signalling reduced the dystonic movements, whereas administration of D1- or D2-like dopamine receptor antagonists to further reduce dopamine signalling worsened the dystonia, suggesting that both receptors mediate the abnormal movements.",D1- dopamine receptor agonists,CHEMICAL,reduce,dystonic movements,DISEASE
26220941,"Administration of D1- or D2-like dopamine receptor agonists to enhance dopamine signalling reduced the dystonic movements, whereas administration of D1- or D2-like dopamine receptor antagonists to further reduce dopamine signalling worsened the dystonia, suggesting that both receptors mediate the abnormal movements.",dopamine receptor agonists,CHEMICAL,have administration to,dopamine signalling,CHEMICAL
26220941,D2-dopamine receptors exhibited a change in the valence in DRD mice with an increase in adenylate cyclase activity and blunted behavioural responses after challenge with the D2-dopamine receptor agonist quinpirole.,D2-dopamine receptors,CHEMICAL,exhibit change in valence in,DRD mice,DISEASE
26220941,"Together, our findings suggest that the development of dystonia may depend on a reduction in dopamine in combination with specific abnormal receptor responses.",dystonia,DISEASE,depend on reduction in,dopamine,CHEMICAL
17719177,"The treatment with reserpine resulted in akinesia, catalepsy and rigidity and up-regulation of proenkephalin and down-regulation of preprotachykinin mRNA in caudate putamen, indicating a severe depletion.",reserpine,CHEMICAL,result in,rigidity,DISEASE
17719177,"The treatment with reserpine resulted in akinesia, catalepsy and rigidity and up-regulation of proenkephalin and down-regulation of preprotachykinin mRNA in caudate putamen, indicating a severe depletion.",reserpine,CHEMICAL,result in,akinesia,MENTAL_HEALTH
17719177,"The treatment with reserpine resulted in akinesia, catalepsy and rigidity and up-regulation of proenkephalin and down-regulation of preprotachykinin mRNA in caudate putamen, indicating a severe depletion.",reserpine,CHEMICAL,result in,catalepsy,DISEASE
16325154,Increased levels of homocysteine have been associated with anger and depression separately.,homocysteine,CHEMICAL,associated with,depression,MENTAL_HEALTH
16325154,Increased levels of homocysteine have been associated with anger and depression separately.,homocysteine,CHEMICAL,associated with,anger,DISEASE
16325154,We investigated the association of anger attacks in major depressive disorder (MDD) with serum levels of homocysteine.,anger attacks,DISEASE,have the association in,major depressive disorder,MENTAL_HEALTH
14590591,"Forty-two subjects, 27 ADHD adults and 15 control subjects, were administered the Goldman-Fristoe-Woodcock Test of Auditory Discrimination (TOAD), and the Stroop Color and Word Test.",ADHD adults,MENTAL_HEALTH,administered goldman-fristoe-woodcock test of,TOAD,NUTRITION
25771167,"The BDNF Val66Met SNP has been associated with a number of psychiatric disorders such as depression, anxiety disorders, schizophrenia and related traits.",BDNF Val66Met SNP,CHEMICAL,associated with number of psychiatric disorders such as,depression,MENTAL_HEALTH
25771167,"The BDNF Val66Met SNP has been associated with a number of psychiatric disorders such as depression, anxiety disorders, schizophrenia and related traits.",BDNF Val66Met SNP,CHEMICAL,associated with number of psychiatric disorders such as,anxiety disorders,MENTAL_HEALTH
25771167,"The BDNF Val66Met SNP has been associated with a number of psychiatric disorders such as depression, anxiety disorders, schizophrenia and related traits.",BDNF Val66Met SNP,CHEMICAL,associated with number of psychiatric disorders such as,schizophrenia,MENTAL_HEALTH
25771167,"The BDNF Val66Met SNP has been associated with a number of psychiatric disorders such as depression, anxiety disorders, schizophrenia and related traits.",BDNF Val66Met SNP,CHEMICAL,associated with number of,psychiatric disorders,DISEASE
35586367,"Glabralactone (5 and 10 mg/kg) exhibited an in vivo anti-inflammatory activity with the reduction of paw edema volume in carrageenan-induced rat model, and the expressions of iNOS and IL-1β proteins were suppressed by glabralactone in the paw soft tissues of the animal model.",Glabralactone,CHEMICAL,exhibit,paw edema volume,DISEASE
34049226,Aging impeded the release of toxic substances in BC400 and BC600 with reduced toxicity to degrading microorganisms.,BC600,CHEMICAL,have toxic substances with,toxicity,DISEASE
34049226,The variations in fatty acid saturation degree (SFA/UFA) in soils confirmed the microbial toxicity of 5% WBC400 > 5% BC400 > 5% BC600 > 5% WBC600.,fatty acid saturation degree,NUTRITION,confirm microbial toxicity of,BC600,CHEMICAL
34049226,The variations in fatty acid saturation degree (SFA/UFA) in soils confirmed the microbial toxicity of 5% WBC400 > 5% BC400 > 5% BC600 > 5% WBC600.,fatty acid saturation degree,NUTRITION,confirm,microbial toxicity,DISEASE
23806677,"The calcite prisms in Pf and Pm are subdivided into sub-prismatic domains of orientations, and within each of these domains the calcite crystal lattice tilts gradually over long distances, on the order of 100 μm, with an angle spread of crystal orientation of 10-20°.",calcite crystal lattice,CHEMICAL,tilt within,crystal orientation,MENTAL_HEALTH
20503316,"On the basis of these findings, we decided to evaluate the in vivo efficacy of VPA on ADHD symptoms in FXS patients.",VPA,CHEMICAL,have efficacy on,ADHD symptoms,MENTAL_HEALTH
32588216,"Especially, indole, a metabolite of tryptophan produced by gut bacteria, may be associated with the development of mood disorders.",tryptophan,NUTRITION,associated with development of,mood disorders,MENTAL_HEALTH
32588216,"Especially, indole, a metabolite of tryptophan produced by gut bacteria, may be associated with the development of mood disorders.",indole,CHEMICAL,associated with development of,mood disorders,MENTAL_HEALTH
