PMID,Sentence
35178926,"Magnoflorine, N-nornuciferine, caaverine, oleic acid, palmitic acid, coclaurine, betulinic acid, and ceanothic acid in Ziziphi Spinosae Semen may be potential effective compounds in the treatment of insomnia."
35178926,"This study revealed that Ziziphi Spinosae Semen extract treated insomnia through multiple metabolic pathways and the overall correction of metabolic disorder profile in a multi-component, multi-target, and multi-channel manner."
14651620,Ethionamide (ETH) is an important second-line antitubercular drug used for the treatment of patients infected with multidrug-resistant Mycobacterium tuberculosis.
14651620,"We have recently identified two M. tuberculosis genes, Rv3854c (ethA) and Rv3855 (ethR), involved in resistance to ETH."
11921243,In-source fragmentation followed by CID of the resulting deprotonated aglycone ([A - H](-)) provided product ions for the identification of the unconjugated phenols.
15799214,The term 'subclinical hypothyroidism' applies to patients who have mildly increased levels of serum thyrotropin hormone (TSH) and normal levels of thyroxine and liothyronine (triiodiothyronine).
15799214,"The presence of goiter, positive thyroperoxidase (TPO) antibodies, manic-depressive disorder, fertility problems, or pregnancy or the anticipation of pregnancy favors the initiation of therapy."
15799214,Positive TPO antibodies are a strong indication for therapy because of the high likelihood in these patients of progression to overt hypothyroidism; patients who are already receiving thyroxine should have adjustments of their dosage.
14736877,"Therefore, the fixation of the cardiac TnI Cys(111) allele in the wild turkey population and the corresponding functional effect reflect an increased fitness value, suggesting a novel target for the treatment of TnT myopathies."
34302568,"The repression of JA biosynthesis is accompanied by the induction of ETH, ABA, and SA signaling and pathogenic infection defensive responses, resulting in counteracting JA-induced metabolic reprogramming and decreasing the expression of nicotine biosynthetic genes in vivo."
35205417,"Among the regulatory systems found at the same or lower levels of CbrAB are the NtrBC nitrogen availability adaptation system, the Crc/Hfq carbon catabolite repression cascade in Pseudomonas, or interactions with the GacSA TCS or alternative sigma ECF factor, such as SigX. The interplay between regulatory mechanisms controls a number of physiological processes that intervene in important aspects of bacterial adaptation and survival."
35205417,"These include the hierarchy in the use of carbon sources, virulence or resistance to antibiotics, stress response or definition of the bacterial lifestyle."
3860494,This study examines the daily food intake and eating habits of 30 bulimia nervosa patients of normal weight; 20 vomited daily and 10 purged daily.
34451620,"The present study was designed to investigate the antidepressant, anxiolytic, and memory impact of the total extract of Pimpinella anisum (PATE) at the doses of 100 and 200 mg/kg, using the Forced Swimming Test (FST), Tail Suspension Test (TST), Open Field Test (OFT), and Light-Dark Box Test (LDBT) as an experimental paradigm of anxiety and depression, and Novel Object Recognition Test (NORT) and the Morris Water Maze Test (MWMT) as memory tests on Swiss albino mice."
34451620,"The tests were carried out on the 1st, 7th, 14th, and the 21st days of the study, and the extract groups were compared with normal controls and positive controls (receiving bromazepam and paroxetine at the doses of 1 mg/kg and 11.5 mg/kg for anxiety and depression, respectively)."
34451620,"This research supports and promotes the extract's traditional use, suggesting its use as a phytomedicine against depression and anxiety, and calls for further research to clarify its mode of action."
34910452,The entire conjugated backbone of benzimidazolium is expected to enhance charge carrier transport within the 2D RP perovskite film. And KI can lead to a preferred orientation and less defects in the 2D RP perovskite film.
32268190,"Carrier-based dry powder inhaler (DPI) formulations need to be accurately characterised for their particle size distributions, surface roughnesses, fines contents and flow properties."
35286696,Morphea and lichen sclerosis et atrophicus (LSA) are two distinct immune-mediated diseases with a dominant presentation of dermal fibrosis and sclerosis.
33351612,Epidithiodiketopiperazines (ETPs) are a class of ecologically and medicinally important cyclodipeptides bearing a reactive transannular disulfide bridge.
26692222,The risk of developing oedema can be reduced by vitamin B6 treatment.
32550861,"The aim of this study was to prospectively analyse, for the first time worldwide by in vivo clinical confocal microscopy (CCM), corneal side effects secondary to the use of epidermal growth factor receptor (EGFR) inhibitor depatuxizumab mafodotin (ABT-414) in a cohort of patients affected by EGFR-amplified recurrent glioblastoma."
26668065,"The EGFR inhibitor erlotinib is approved for treatment of pancreatic cancer, but has shown modest activity in most patients."
35587314,"The pharmaceutical industry has focused on developing drugs that primarily affect the Aβ cascade and tau proteinopathy, while academics have focused on repurposed therapeutics and multi-domain interventions for prevention studies."
35570262,"The figure represents few types of novel drug delivery systems and molecules that have been attempted by researchers for nose-to-brain delivery through nasal (mucosal) route for the effective management of epilepsy, Alzheimer's disease, brain cancer, and other brain disorders."
27581446,"Cerebellar granule cell GABAA receptor responses to alcohol vary as a function of alcohol consumption phenotype, representing a potential neural mechanism for genetic predilection for alcohol abuse (Kaplan et al., 2013; Mohr et al., 2013)."
29168423,Recent studies showed that vitamin D deficiency may lead to dysfunctional changes in the brain and may be associated with neuropsychiatric diseases.
35165930,"Moreover, ET combined with traditional pharmacological treatments for fear-related disorders, such as selective serotonin reuptake inhibitors, offers no further advantage to patients."
35165930,"We highlight 3,4-methylenedioxymethamphetamine and ketamine as the most effective therapeutics for fear-related disorders and discuss the potential molecular mechanisms responsible for their potency with implications for improving hallucinogen-assisted psychotherapy."
32258231,We aimed to describe the importance of specific gait phobia as a diagnostic clue to anti-glutamic acid decarboxylase stiff-limb syndrome.
34743290,"For advanced, high risk prostate cancer, androgen deprivation therapy (ADT) is the preferred treatment and can induce remission, but resistance to ADT brings biochemical recurrence and progression of cancer."
34743290,It is estimated that between 25 and 50% of men on ADT manifest some form of cognitive dysfunction that may be self-reported or reported by a family member.
34743290,There is concern that impaired cognitive function with ADT is due to loss of testosterone support.
34743290,"While a direct causal relationship between ADT and cognitive decline in prostate cancer patients has not been established, this review describes the controversy surrounding the possible connection between ADT and neurocognitive deterioration."
30422674,"Women have a lower incidence of cardiovascular diseases (CVD) than men at a similar age but the reverse is the case after menopause, indicating a possible protective effect of estrogen on cardiometabolic function."
30422674,We therefore hypothesized that low-dose spironolactone would ameliorate obesity and IR in estrogen-deprived rats by replenishing estrogen and suppressing elevated glycogen synthase kinase-3 (GSK-3).
30422674,"Results showed that estrogen deprivation through ovariectomy caused increased body mass gain and visceral adiposity that are accompanied by increased HOMA-IR, HOMA-β, 1-hour postload glucose, glucose intolerance, platelet/lymphocyte ratio, plasma insulin, atherogenic dyslipidemia, uric acid, GSK-3, corticosterone, and aldosterone and depressed 17β-estradiol."
30422674,"Taken together, the results demonstrate that treatment with low-dose spironolactone improves obesity and IR, which appears to involve replenishment of estrogen and suppression of GSK-3 along with circulating mineralocorticoid and glucocorticoid."
33791524,"The movement pathways of displaced crayfish were compared with those in two control groups, one which underwent no displacement and the second in which the treadmill belt was displaced but returned to its original position almost immediately."
10823960,"Exposure to ad libitum cocaine reinstated baseline values in control animals and resulted in double to triple the baseline values of self-infusions in vaccinated animals, suggesting a partial antibody-mediated blockade of cocaine access to the central nervous system."
8206756,"O. Bagasra, L.J. Forman, A. Howeedy, and P.A. Whittle recently conveyed the preparation of a cocaine immunogen that is a potential vaccine for cocaine abuse prophylaxis (Immunopharmacology: 1992, 23, 173-179)."
30826538,"In this study an attempt was undertaken to evaluate the analytical performance of three commonly used methods for recovery of Cryptosporidium oocysts from shellfish: i) pepsin digestion of shellfish in conjunction with immunomagnetic separation (IMS) of oocysts (method A), ii) pepsin-HCl treatment of shellfish homogenate without IMS (method B), and iii) a strainer method with direct oocyst extraction and separation from shellfish tissue using IMS (method C)."
30826538,Each method's performance was assessed according to the ISO standard requirements by testing shellfish homogenates seeded with different numbers of C. parvum oocysts.
30768414,The Treatment for Adolescent Depression Study (TADS) is one of the largest randomized controlled trials that compared the effectiveness of four treatments: cognitive-behavioral therapy (CBT); fluoxetine (FLX); combined cognitive-behavioral and fluoxetine treatment (COMB); and placebo (PBO).
31511648,"By comparing pairs of EBV-negative and -positive tumor cell lines we found that, while associated with the accumulation of oxidized nucleotides, EBV carriage promotes the concomitant activation of oxo-dNTP sanitization and purging pathways, including upregulation of the nucleoside triphosphatase mut-T homolog 1 (MTH1) and the DNA glycosylases 8-oxoguanine-glycosylase-1 (OGG1) and mut-Y homolog (MUTYH)."
21333709,"This depression of synaptic output is insensitive to the N-methyl-d-aspartic acid (NMDA) receptor inhibitor DL-2-amino-5-phosphonopentanoic acid (AP-5, 50μM), but is blocked in slices treated with glycine receptor antagonists (strychnine, 1μM; PMBA, 50μM), nicotinic acetylcholine receptor antagonists (mecamylamine, 10μM; methyllycaconitine citrate (MLA), 40nM), or GABA(A) receptor inhibitors (picrotoxin, 100μM; bicuculline, 2μM, 20μM)."
32196677,"CsChi19 expression levels were upregulated in response to mechanical wounding, infestation by two important pests: the tea geometrid Ectropis grisescens and the tea green leafhopper Empoasca (Matsumurasca) onukii, a fungal pathogen Colletotrichum fructicola, and treatment with two phytohormones: jasmonic acid (JA) and salicylic acid."
32196677,Our results provide first evidence that CsChi19 is involved in mediating a novel defense mechanism of tea plant through altering the composition of the regurgitant.
21271306,"This article reviews the current knowledge about serotonergic agonists and antagonists used in the management of cluster headache, focusing on their mechanisms of action and on the possible role of serotonin system dysfunction in this complex disorder."
12172708,"Sumatriptan, a 5-HT(1B/1D/1F) receptor agonist, is used to relieve migraine headache."
12172708,Sumatriptan can cause myocardial ischaemia and myocardial infarction.
12172708,"While previous in-vitro studies have shown that sumatriptan has no or only weak contractile activity in human omental arteries, recent clinical studies suggest that sumatriptan may induce mesenteric ischaemia."
12172708,These findings suggest that sumatriptan may induce ischaemia in human mesenteric vasculature directly or in the presence of precontractile risk factors.
10563228,"This activation of the 'trigeminovascular system' is thought to cause the release of vasoactive sensory neuropeptides, especially CGRP, that increase the pain response."
35521635,"A panel of 12 biomarkers composed of chenodeoxycholic acid, vanillic acid, adenosine monophosphate, glycolic acid, histidine, azelaic acid, hydroxypropionic acid, glycine, 3,4-dihydroxymandelic acid, 4-hydroxybenzoic acid, oxoglutaric acid, and homocitrulline were identified by Random Forest (RF), Support Vector Machine (SVM), and Boruta analysis classification model and validated by Gradient Boosting (GB), Logistic Regression (LR), and Random Forest diagnostic model, which were able to discriminate CRC subjects from healthy controls."
33851280,This study investigated whether vitamin D is associated with the presence or severity of chronic tic disorders and their psychiatric comorbidities.
33851280,This cross-sectional study compared serum 25-hydroxyvitamin D [25(OH)D] (ng/ml) levels among three groups: children and adolescents (3-16 years) with CTD (n = 327); first-degree relatives (3-10 years) of individuals with CTD who were assessed for a period of up to 7 years for possible onset of tics and developed tics within this period (n = 31); and first-degree relatives who did not develop tics and were ≥ 10 years old at their last assessment (n = 93).
33851280,"In conclusion, lower vitamin D levels were not associated with a higher presence or severity of tics but were associated with the presence and severity of comorbid ADHD in children and adolescents with CTD."
31933522,Vitamin D deficiency has been found in children with chronic tic disorders (CTDs).
31933522,Our previous data showed that serum 25-hydroxyvitamin D [25(OH)D] level in children with CTDs was lower than that of the healthy controls and lower serum 25(OH)D level was associated with increased severity of the tic disorder.
35466417,"Herein, we describe the first isolation of Flavobacterium psychrophilum, aetiological agent of bacterial coldwater disease (BCWD) and rainbow trout fry syndrome (RTFS), from systemically infected adult LWF."
34523994,"Flavobacterium psychrophilum, the etiological agent of bacterial coldwater disease (BCWD) and rainbow trout fry syndrome, causes great economic losses in salmonid aquaculture worldwide."
21261962,"However, the molecular mechanisms underlying resistance have not been characterised and, to date, progress has been hampered by a lack of nucleotide sequence data for this species."
25703036,Fetal alcohol spectrum disorders (FASD) result from fetal exposure to alcohol and are the leading cause of mental retardation in the United States. There is currently no effective treatment that targets the causes of these disorders.
21063035,"Ethanol impairs neuronal survival and function by two major mechanisms: 1) it inhibits insulin signaling required for viability, metabolism, synapse formation, and acetylcholine production; and 2) it functions as a neurotoxicant, causing oxidative stress, DNA damage and mitochondrial dysfunction."
21063035,"The neurotoxicant effects of ethanol promote DNA damage, which could contribute to mitochondrial dysfunction and oxidative stress."
21063035,"Therefore, chronic in utero ethanol exposure produces a dual state of CNS insulin resistance and oxidative stress, which we postulate plays a major role in ethanol neurobehavioral teratogenesis."
7903650,"5. However, mepyramine, famotidine, and lupitidine did not affect morphine-induced analgesia on the caudal compression test and displayed a nonsignificant potentiation on morphine-induced analgesia in the PBQ-writhing test."
24849194,Pregabalin is approved for the treatment of partial epilepsy; generalized anxiety disorder; peripheral and central neuropathic pain and fibromyalgia.
24849194,The purpose of this mini review is to present available published data signaling pregabalin's abuse liability reflecting on the pharmacological characteristics that might enable this agent to trigger addictive behaviors.
18308797,"The current study tested the hypothesis that chronic loss of inhibitory GABAergic tone in the bed nucleus of the stria terminalis (BNST), a region implicated in anxiety behavior, results in generalized anxiety disorder-like behaviors without panic-like responses (i.e., tachycardia, hypertension and tachypnea) following panicogenic stimuli (e.g., sodium lactate infusions)."
18308797,"L-AG, but not D-AG, treated rats had increased anxiety-like behavior as measured by social interaction (SI) and elevated-plus maze paradigms."
18308797,"Restoring GABAergic tone, with 100pmoles/100nl of muscimol (a GABA(A) receptor agonist), in the BNST of L-AG treated rats attenuated L-AG-induced anxiety-like behavior in the SI test."
18308797,"To assess panic-like states, L-AG treated rats were intravenously infused with 0.5 M sodium lactate, a panicogenic agent, prior to assessing SI and cardiorespiratory responses."
18308797,"These findings demonstrate that GABA inhibition in the BNST elicits anxiety-like behavior without increasing sensitivity to lactate, thus suggesting a behavioral profile similar to that of generalized anxiety-like behavior rather than that of panic."
30326484,"The proinflammatory cytokine IL-18, with a recognized role in brain functions, may influence serotonin metabolism and appears to be associated with alexithymia."
30326484,"Healthy individuals carrying the long allele (L) of the serotonin transporter gene polymorphic region (5-HTTLPR), and thus having lower concentrations of serotonin in the synaptic cleft, show a greater tendency toward alexithymia, with some gender differences."
30326484,"To explore a potential physiological interaction between IL-18, serotonin neurotransmission, and alexithymia, we investigated whether IL-18 serum levels and 5-HTTLPR are linked to alexithymic traits in healthy subjects."
8282133,The patient was treated with saline intravenously; serum sodium level increased from 120 to 125mEq/l and urinary sodium concentration increased from 10 to 54mEq/l.
8282133,Mental confusion developed and serum sodium level dropped with urinary sodium concentration above 20mEq/l when thyroid replacement was started with the cessation of saline infusion.
207218,"None of them had hemodilution (plasma protein, potassium were normal)."
207218,Natremia increased with cortisone therapy in all cases but reached the normal range only in one case.
207218,Mental confusion disappeared and natremia became normal in all patients with therapy with cortisone and thyroid hormones.
20488021,"In this study, the effects of insulin-induced hypoglycemia on brain phospholipid metabolism were examined in rats which were prior injected with (32)Pi."
20488021,Differences were observed in labeling of individual phospholipids in response to the hypoglycemic treatment.
20488021,"In the cortex, hypoglycemic condition resulted in an increase in (32)Pi uptake into the phospholipids."
20488021,"The hypoglycemic rats also showed a 3-fold increase in the brain free fatty acid level, but the level of diacylglycerol was not changed."
20488021,Results thus suggested a correlation between the free fatty acid release and the increased turnover of phosphatidylinositol and phosphatidylcholine during brain stimulation due to insulin-induced hypoglycemia.
23224660,The role of trait self-control in co-morbidity also remains under-explored in the gambling literature.
23224660,"The prevalence of gambling pathology, frequency and attitudes showed statistically significant, positive and consistent relationships with tobacco use, alcohol use, and delinquent acts at the p < .001 level."
23224660,"Further analyses revealed that low self-control significantly (p < .001) predicts at-risk/probable pathological gambling, frequent gambling, strong permissiveness toward gambling, heavy use of tobacco and alcohol, and delinquent involvement, even after controlling for the potential shared correlates of socioeconomic characteristics, parental monitoring and peer delinquency."
8501420,Decreased serum vitamin B12 levels occur in up to 20% of patients with acquired immune deficiency syndrome (AIDS) and may adversely contribute to the haematologic and neurologic dysfunction which is frequently attributed to the human immunodeficiency virus.
8501420,We believe that the AIDS dementia complex represented a reversible adverse synergistic interaction between the human immunodeficiency virus and vitamin B12 deficiency.
35254171,"Background: To examine the relationship of vitamin B12 and folate concentrations to cognitive function, fatigue measures, physical function, quality of life (patient-centred outcomes) and homocysteine plasma concentrations (intermediate marker of cobalamin and folate deficiency) for patients with Multiple Sclerosis (MS)."
33991535,"Oxaliplatin is being used in different malignancies and several side effects are reported for patients taking Oxaliplatin, including peripheral neuropathy, nausea and vomiting, diarrhea, mouth sores, low blood counts, fatigue, loss of appetite, etc."
35145415,The PD model for the pharmacological intervention of AMPA receptors was established by the unilateral lesion of the substantia nigra pars compacta (SNc) with 6-hydroxydopamine (6-OHDA).
35145415,"Methods: The AMPAR agonist (S)-AMPA and antagonist NBQX were microinjected into the LHb, respectively, to examine whether anxiety-like behaviors were altered in sham-operated and SNc-lesion rats, measured with the paradigms of the open-field test (OPT) and elevated plus maze (EPM)."
1358597,The factors that determine the axial orientation and phenotypes of skin appendages were analyzed by studying the effect of retinoic acid (RA) on embryonic chicken skin explant cultures.
1358597,Retinol has no effect and retinal has a small inhibitory effect but neither phenotypic transformation nor axial disorientation were observed.
24635117,"In this study, we have investigated the effect of GW0742, a PPAR-β/δ agonist in rat model of cognitive impairment associated with PD."
24635117,"Bilateral intranigral administration of 1-methyl-4-phenyl-1,2,3,6- tetrahydropyridine (MPTP) (100 µg/1 µl/side) produced significant cognitive dysfunctions."
24635117,PPAR-β/δ agonist GW0742 at a dose of 30 and 100 µg/kg showed significant improvement in cognitive impairments caused by MPTP in rat model of PD as evident from passive avoidance and Morris water maze test.
24635117,MPTP-induced massive oxidative damage and DNA fragmentation was ameliorated by GW0742 treatment as observed after MDA and GSH estimation and TUNEL assay.
26453697,"One possible explanation for this attenuation is different concentrations of bioavailable vitamin D metabolites in plasma, which are estimated with equations that include the total concentration of vitamin D binding globulin (VDBG) and haplotype-specific dissociation constants."
33188899,"In the past decades, it has been used for hepatoprotection and treatment of overweight and other metabolic disorders such as hyperlipidaemia and diabetes."
2816420,"Berberine sulfate (Ber) 40 and 80 mg/kg ig reduced the purging effects of castor oil or Cassia angustifolia leaf in mice, but did not affect the gastrointestinal transport function of Chinese ink in normal mice."
2816420,Ber 4 and 8 mg/kg sc produced obvious inhibition in the xylene-induced swelling of mouse ear.
2816420,It is suggested that the antidiarrheal effect of Ber is relative to its restriction against exudative inflammation to a certain extent.
25220242,"Neuropeptide S (NPS) is a neurotransmitter that activates the NPS receptor to modulate biological functions including anxiety-like behaviors, feeding, and drug reinforcement."
25220242,RTI-118 is a novel NPS receptor antagonist that decreased cocaine self-administration in rats at doses that had little or no effect on food-maintained responding.
25220242,"U69,593 (0.25-0.5mg/kg) also attenuated cocaine effects, but blockade of cocaine effects was incomplete even at a U69,593 dose that alone depressed ICSS."
25220242,These results support further consideration of NPS receptor antagonists as candidate treatments for cocaine abuse and provide evidence for differential effects of a candidate treatment on abuse-related effects of cocaine and MDPV.
35531238,"Four experimental diets were designed as T1 (with 5% A. indica leaf extract), T2 (with 7% of A. indica leaf extract), T3 (with 10% A. indica leaf extract), and T4 (control group feed with a regular diet with 0% A. indica leaf extract)."
35531238,"After 90 days of the experimental trial, One-way ANOVA showed significant differences in final body weight, weight gain, specific growth rate, feed conversion ratio, and survival rate among the treatment groups (p A. indica leaf extract, which was significantly different from the other treatments (p A. indica leaf extract in formulated feed for rainbow trout had significant effects in the hepatosomatic index, viscerosomatic index and Fulton's condition factor (p  0.05)."
35531238,The phenomenal regression indicates that 7.5% A. indica inclusion is optimum for best growth performance for rainbow trout under a controlled environment.
34813674,"We conducted a meta-analysis of the available aquatic toxicity literature for fluoride to evaluate the utility of hardness, alkalinity, and chloride as toxicity-modifying factors (TMFs) in empirical bioavailability models of freshwater taxa."
34813674,"The resulting optimal multiple linear regression model predicting acute fluoride toxicity to the invertebrate Hyalella azteca included all three TMFs (observed vs. predicted 50% lethal concentrations, R2  = 0.88) and the optimal model predicting toxicity to the fish Oncorhynchus mykiss included alkalinity and hardness (R2  = 0.37)."
34813674,"Sensitivity of H. azteca to low-chloride conditions increased model uncertainty when chloride was <20 mg/L. Because of limited toxicity data, chronic bioavailability models were not developed, and final chronic values were derived using an acute-to-chronic ratio (ACR) approach."
34744005,"While the occurrence of deformities was only significantly increased at 320 μg.L-1 for the rainbow trout, brown trout larvae displayed pericardial edemas and hemorrhages already at 10 or 100 μg.L-1."
31107373,Metoprolol is among the most frequently prescribed β-blockers for the treatment of various cardiovascular diseases.
18460588,To evaluate the role of mirtazapine in the treatment of antipsychotic-induced akathisia.
32197626,Spearmint (Mentha spicata L.) has anti-androgenic activity and flaxseed (Linum usitatissimum L.) contains phytoestrogen and was reported to improve PCOS conditions.
32197626,This study aimed to evaluate PCOS conditions following administration of a mixture of these two plants.
30529423,"Mint oils are traditionally applied to repel insects and treat various conditions including wounds, skin infections, inflammation, eczema, urticaria, psoriasis, scabies and insect bites."
29399556,"Purpose: Given the antiandrogenic effects of spearmint, in this study we evaluated the effects of its essential oil on polycystic ovarian syndrome in a rat model."
29399556,"Results: Spearmint oil reduced body weight, testosterone level, ovarian cysts and atretic follicles and increased Graafian follicles in PCOS rats."
29399556,Conclusion: Spearmint has treatment potential on PCOS through inhibition of testosterone and restoration of follicular development in ovarian tissue.
16806835,This study examined 2D:4D in adolescents with schizotypal personality disorder (SPD).
15121342,"Divalproate (VPA) was the first drug, other than lithium, reported to be efficacious for the treatment of bipolar disorder."
15121342,"As a monotherapy, clinical studies revealed that VPA was superior to lithium with regard to being effective in a broader patient population: patients with depressive symptoms concurrent with their mania, patients previously poorly responsive to lithium, patients with more lifetime episodes, and on specific symptoms of elation/grandiosity and reduced need for sleep."
15121342,"In addition, while VPA had superior efficacy versus carbamazepine (CBZ), an anti-manic agent, and equivalent efficacy to the anti-psychotic agent olanzapine (OLZ) in manic patients with psychotic manic features, patients showed much better tolerability to VPA than CBZ, anti-psychotics, and, in particular, lithium."
15121342,"In general, VPA provides a well-tolerated treatment that is efficacious for a broad spectrum of manic states and improves outcomes during maintenance treatment."
15001730,This study compared the specific antihostility effects of atypical antipsychotic monotherapy (olanzapine or risperidone) with that of combination treatment with divalproex sodium among patients with schizophrenia experiencing an acute psychotic episode.
35444604,"Poisoning, mostly resulting from intoxication with carbon monoxide and several narcotic drugs, has been reported to be a cause of DPHL."
7759919,"One case of silicone synovitis requiring secondary surgery was noted 6 years after surgery, accounting for 2.9% of the total number of silicone implants reviewed, but radiological signs of silicone synovitis were much more common (56%)."
630054,"The mass spectra of the methyl derivatives of five compounds, 4-amino-4-deoxy-N10-methylpteroylglutamic acid, 4-amimo-4-deoxypteroylglutamic acid, pteroylglutamic acid, 4-amino-4-deoxypteroic acid and N10-methylpteroylglutamic acid are presented, and the fragmentation pathways of these compounds discussed."
33440935,"Furthermore, the ion transport property of VF could be reversibly switched by the addition of (R)-propranolol, an aromatic amine known as an antiarrhythmic agent, followed by the addition of β-cyclodextrin for its removal."
27229511,The diiron cluster-containing oxygenase CmlI catalyzes the conversion of the aromatic amine precursor of chloramphenicol to the nitroaromatic moiety of the active antibiotic.
26944656,"Progress in understanding the role of monoamine neurotransmission in pathophysiology of neuropsychiatric disorders was made after the discovery of the mechanisms of action of psychoactive drugs, including monoamine oxidase (MAO) inhibitors."
26944656,"The increase in monoamine neurotransmitter availability, decrease in hydrogen peroxide production, and neuroprotective effects evoked by MAO inhibitors represent an important approach in the development of new drugs for the treatment of mental disorders and neurodegenerative diseases."
34981464,Identifying risk for post-treatment worsening of symptoms using latent trajectories of change in eating disorder (ED) symptoms during treatment could allow for personalization of treatment to improve long-term outcomes METHODS: Participants (N = 56) with BN-spectrum EDs received 16 sessions of CBT and completed digital self-monitoring of eating episodes and ED behaviors.
30616273,"To evaluate the relative efficacy of a novel, commercially available disinfecting agent containing ≥ 15 to ®""; Eimermacher, Nordwalde, Germany, Biozid-Desinfektionsmittel, BAuA Nr. N-57213) as a walkthrough footbath in order to treat digital dermatitis of dairy cattle."
17093977,"Fluoxetine is used to treat unipolar depression and is thought to act by increasing the concentration of serotonin (5-HT) in the synaptic cleft, leading to increased serotonin signaling."
26678691,"Despite treatment with catecholamines and antimicrobials, he died of recurrent cardiopulmonary arrest later the same day."
14628976,The anticonvulsant lamotrigine was previously shown to be effective for bipolar depression.
14628976,This study assessed the efficacy and tolerability of lamotrigine and lithium compared with placebo for the prevention of mood episodes in bipolar disorder.
23062763,To evaluate quetiapine in patients with bipolar I disorder with mixed symptoms.
32361053,"There was a significant presence of A. simplex (s.l.) and H. aduncum larvae in the musculature of North-Eastern Atlantic blue whiting, the most parasitized part being the anteroventral region, followed equally by the anterodorsal and central sections."
35569709,"Serum chromium (Cr), mercury (Hg) and copper (Cu) were significantly higher in PCOS patients."
35569709,"In conclusion, the present study shows that PCOS patients exhibited increased serum Cr, Hg and Cu levels, which were related to some sex hormones and lipid-metabolism disturbances and inflammatory cytokines releases, and elevated Cu levels were related to pregnancy failure, suggesting that these heavy metals may provide valuable information to predict PCOS."
35525425,"Women with congenital long QT syndrome (LQTS) experience increased cardiac events risk after the onset of adolescence, perhaps stemming from the known modulating effects of sex hormones on the cardiac potassium channels."
35509038,Gitelman Syndrome (GS) is a hereditary tubulopathy associated with a biallelic inactivating mutations of the SLC12A3 gene encoding the thiazide-sensitive sodium-chloride cotransporter (NCCT).
35509038,"The typical clinical manifestation is a hypokalemic metabolic alkalosis with significant hypomagnesemia, and low urinary calcium excretion."
34231526,"The physiological decline in endogenous estrogen can be associated with vasomotor symptoms or hot flashes, sleep disruption, and mood disorders."
34231526,Long-term concerns arise with sequelae of estrogen loss such as genitourinary syndrome of menopause and osteoporosis.
34154403,The amphipathic toxin candidalysin mediates necrotic host cell damage induced by C. albicans.
34154403,"We discovered that albumin, similarly, can neutralize a variety of fungal (α-amanitin), bacterial (streptolysin O and staurosporin), and insect (melittin) hydrophobic toxins."
34154403,We show that albumin can protect against damage induced by the pathogenic yeast C. albicans by neutralizing its cytolytic toxin candidalysin.
32453460,"Thus, we aimed to evaluate the effect of Enterolobium contortisiliquum trypsin inhibitor (EcTI) on Aedes aegypti development as well as its effect on insecticidal activity of Bacillus thuringiensis toxins."
33043210,"Here, we report the results of experiments on the biological control of pine wilt disease through termination of the insect vector of the nematode and the mechanism of the insecticidal action of Metarhizium anisopliae JEF-279 against Monochamus alternatus (Japanese pine sawyer)."
28713269,"Converging clinical, molecular, and genetic discoveries illuminate key roles for zinc homeostasis in association with clinical depression and psychosis which are not yet well appreciated at the clinical interface."
28713269,"Intracellular deficiency may arise from low circulating zinc levels due to dietary insufficiency, or impaired absorption from aging or medical conditions, including alcoholism."
28713269,"A host of medications commonly administered to psychiatric patients, including anticonvulsants, oral medications for diabetes, hormones, antacids, anti-inflammatories and others also impact zinc absorption."
28713269,Well powered clinical studies have shown beneficial effects of supplemental zinc in depression and it important to pursue research using zinc as a potential therapeutic option for psychosis as well.
28713269,Meta-analyses support the adjunctive use of zinc in major depression and a single study now supports zinc for psychotic symptoms.
28713269,This manuscript reviews the biochemistry and bench top evidence on putative molecular mechanisms of zinc as a psychiatric treatment.
28461466,"To provide new preclinical evidence toward improving the efficacy of oxytocin (OT) in treating social dysfunction, we tested the benefit of administering OT under simultaneously induced opioid antagonism during dyadic gaze interactions in monkeys."
34669122,"Gut dysbiosis has far-reaching immune system and central nervous system effects, and even a transient gut dysbiosis can act in combination with neurotoxins, such as aluminum, mercury, lead, arsenic, cadmium, selenium, manganese, organophosphate pesticides and organochlorines, to reach neurotoxin blood levels that can initiate a late onset neuropathology, depending on an individual's age and genetic vulnerability."
33562080,"This study investigated the effects of two neutral CB1 receptor antagonists, AM6545 and AM4113, on nephropathy associated with metabolic syndrome (MetS)."
33562080,MetS was induced in rats by high-fructose high-salt feeding for 12 weeks.
33562080,Both compounds equally inhibited the elevated proteinuria and albumin excretion rate while having no effect on creatinine clearance and blood pressure.
33562080,"In addition, AM6545 and AM4113 alleviated the observed swelling and inflammatory cells infiltration in different kidney structures."
33562080,"Moreover, AM6545 and AM4113 alleviated the observed histopathological alterations in kidney structure of MetS rats."
33562080,MetS was associated with a ten-fold increase in urine uric acid while both compounds blocked this increase.
33562080,"Furthermore, AM6545 and AM4113 completely prevented the collagen deposition and the elevated expression of the TGFβ1 seen in MetS animals."
33562080,"In conclusion, AM6545 and AM4113, possess reno-protective effects by interfering with TGFβ1-mediated renal inflammation and fibrosis, via peripheral action."
